Dates	Number of Long-Read Sequencing Samples
2011-1-01	0
2011-3-01	0
2011-5-01	0
2011-7-01	0
2011-9-01	0
2011-11-01	0
2012-1-01	0
2012-3-01	0
2012-5-01	5
2012-7-01	5
2012-9-01	5
2012-11-01	5
2013-1-01	5
2013-3-01	10
2013-5-01	13
2013-7-01	15
2013-9-01	20
2013-11-01	22
2014-1-01	22
2014-3-01	22
2014-5-01	241
2014-7-01	256
2014-9-01	342
2014-11-01	926
2015-1-01	937
2015-3-01	1261
2015-5-01	1668
2015-7-01	4557
2015-9-01	5446
2015-11-01	5694
2016-1-01	6265
2016-3-01	6419
2016-5-01	7279
2016-7-01	8183
2016-9-01	10332
2016-11-01	11723
2017-1-01	12473
2017-3-01	14225
2017-5-01	15050
2017-7-01	16264
2017-9-01	17655
2017-11-01	18175
2018-1-01	20486
2018-3-01	21894
2018-5-01	23229
2018-7-01	24818
2018-9-01	26288
2018-11-01	28073
2019-1-01	29726
2019-3-01	31344
2019-5-01	33677
2019-7-01	37538
2019-9-01	39476
2019-11-01	41247
2020-1-01	43185
2020-3-01	46182
2020-5-01	49740
2020-7-01	56621
2020-9-01	61444
2020-11-01	67137
2021-1-01	71966
2021-3-01	84003
2021-5-01	94010
2021-7-01	102646
2021-9-01	110350
2021-11-01	121503
2022-1-01	137007
2022-3-01	157065
